,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,engine_capacity(cc),Power_bhp,Seats,Price,Brand_name,Model_name
17,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5.0,6.34,Renault,Duster
18,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5.0,28.0,Mercedes-Benz,New
19,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190.0,5.0,18.55,BMW,3
20,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5.0,8.25,Maruti,S
21,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5.0,23.5,Audi,A6
22,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80.0,5.0,1.87,Hyundai,i20
23,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5.0,2.85,Volkswagen,Vento
24,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5.0,4.25,Honda,City
25,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5.0,4.25,Nissan,Micra
26,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,2.75,Maruti,Alto
27,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5.0,9.9,Honda,WRV
28,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102.0,7.0,4.0,Toyota,Innova
29,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5.0,7.75,Renault,Duster
30,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5.0,6.75,Toyota,Corolla
31,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184.0,7.0,12.5,Mahindra,Ssangyong
32,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5.0,11.5,Audi,A6
33,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5.0,6.98,Volkswagen,Vento
34,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061,64.0,5.0,1.85,Maruti,Wagon
35,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5.0,8.63,Maruti,Vitara
36,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82.0,5.0,4.85,Mahindra,KUV
37,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5.0,28.0,Mercedes-Benz,M-Class
38,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,5.0,Volkswagen,Polo
39,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,1.25,Maruti,Alto
40,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4.0,1.53,Tata,Nano
41,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77.0,6.0,5.58,Mahindra,KUV
42,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5.0,4.74,Hyundai,i20
43,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,8.85,Hyundai,Elantra
44,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5.0,10.11,Toyota,Corolla
45,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5.0,4.25,Hyundai,Elantra
46,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,10.95,Toyota,Innova
47,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71.0,5.0,3.85,Hyundai,Xcent
48,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105.0,6.0,5.5,Mahindra,Thar
49,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5.0,21.43,Audi,A4
50,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74.0,5.0,4.25,Maruti,Swift
51,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75.0,5.0,3.3,Maruti,Swift
52,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74.0,5.0,3.85,Maruti,Swift
53,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82.0,5.0,3.6,Hyundai,Grand
54,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5.0,3.99,Volkswagen,Vento
55,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5.0,3.3,Renault,KWID
56,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.07,Hyundai,i10
57,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5.0,7.75,Nissan,X-Trail
58,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5.0,2.25,Maruti,Zen
59,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8.0,16.5,Toyota,Innova
60,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.75,Ford,Figo
61,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186.0,5.0,26.7,Mercedes-Benz,New
62,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170.0,5.0,10.0,Mercedes-Benz,New
63,Chennai,2016,178000,Diesel,Manual,First,25.0,1396,69.0,5.0,2.5,Tata,Indica
64,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140.0,5.0,13.5,Audi,A4
65,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78.0,5.0,1.85,Honda,City
66,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,8.15,Maruti,Ertiga
67,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5.0,10.5,Hyundai,Creta
68,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500.0,5.0,14.5,Porsche,Cayenne
69,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140.0,7.0,9.65,Mahindra,XUV500
70,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5.0,3.48,Hyundai,i10
71,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,6.92,Nissan,Terrano
72,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5.0,6.46,Honda,Brio
73,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5.0,29.5,Audi,A6
74,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132.0,8.0,4.5,Toyota,Innova
75,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102.0,7.0,11.75,Toyota,Innova
76,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74.0,5.0,3.75,Maruti,Swift
77,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,4.5,Tata,Zest
78,Kochi,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,4.82,Honda,Amaze
79,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399,68.0,5.0,2.8,Ford,Figo
80,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5.0,3.11,Maruti,Ritz
81,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5.0,3.25,Honda,City
82,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218.0,5.0,13.9,BMW,5
83,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5.0,2.25,Hyundai,i10
84,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82.0,5.0,5.75,Hyundai,Grand
85,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5.0,5.0,Honda,Amaze
86,Delhi,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7.0,16.5,Toyota,Fortuner
87,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5.0,39.58,Audi,A6
88,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5.0,5.5,Ford,Ecosport
89,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140.0,7.0,8.1,Mahindra,XUV500
90,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,Honda,Amaze
91,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5.0,2.79,Volkswagen,Polo
92,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110.0,5.0,3.45,Hyundai,Verna
93,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5.0,4.45,Maruti,Wagon
94,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5.0,2.65,Volkswagen,Polo
95,Pune,2011,78958,Diesel,Manual,Second,23.0,1396,90.0,5.0,3.8,Hyundai,i20
96,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5.0,4.65,Hyundai,i20
97,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67.0,7.0,3.95,Datsun,GO
98,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5.0,9.8,Audi,A4
99,Pune,2009,66000,Petrol,Manual,Second,17.0,1197,80.0,5.0,2.7,Hyundai,i20
100,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796,35.0,5.0,2.41,Maruti,Omni
101,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,3.9,Toyota,Etios
102,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5.0,24.0,Jaguar,XF
103,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179,140.0,7.0,5.75,Mahindra,XUV500
104,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5.0,5.25,Hyundai,Verna
105,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.25,Toyota,Innova
106,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73.0,5.0,3.91,Maruti,Eeco
107,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4.0,2.15,Tata,Nano
108,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190.0,5.0,20.75,BMW,3
109,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130.0,5.0,3.35,Honda,Civic
110,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7.0,11.11,Toyota,Innova
111,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150.0,5.0,20.0,Volvo,V40
112,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,6.55,Nissan,Micra
113,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215.0,5.0,7.0,BMW,5
114,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,7.5,Maruti,Vitara
115,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,16.75,Mercedes-Benz,B
116,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,10.95,Hyundai,Verna
117,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5.0,2.45,Maruti,Wagon
118,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4.0,3.23,Tata,Nano
119,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120.0,8.0,7.75,Mahindra,Scorpio
120,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178.0,5.0,9.35,Mercedes-Benz,New
121,Pune,2013,89900,CNG,Manual,First,35.910000000000004,998,58.16,5.0,3.25,Maruti,Wagon
122,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152.0,5.0,5.25,Honda,CR-V
123,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5.0,7.25,Volkswagen,Vento
124,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,7.47,Maruti,Ciaz
125,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7.0,13.25,Mahindra,XUV500
126,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5.0,5.81,Maruti,Ritz
127,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5.0,2.6,Maruti,Alto
128,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,54.0,Mercedes-Benz,SLC
129,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,11.5,Hyundai,Verna
130,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5.0,1.6,Maruti,Alto
131,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143.0,5.0,17.22,BMW,1
132,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5.0,6.0,Honda,Jazz
133,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130.0,5.0,3.95,Honda,Civic
134,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170.0,5.0,17.95,Mercedes-Benz,New
135,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5.0,3.7,Honda,Amaze
136,Kochi,2016,34204,Petrol,Manual,First,22.0,1197,81.8,5.0,5.43,Maruti,Swift
137,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171.0,7.0,13.49,Toyota,Fortuner
138,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5.0,2.85,Chevrolet,Beat
139,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5.0,4.75,Skoda,Rapid
140,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,9.9,Maruti,Ciaz
141,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444.0,4.0,37.0,Audi,RS5
142,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190.0,5.0,26.5,BMW,3
143,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5.0,23.32,Audi,A4
144,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74.0,5.0,6.25,Maruti,Swift
145,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5.0,30.0,Mercedes-Benz,S
146,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5.0,9.86,Skoda,Rapid
147,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5.0,8.5,Skoda,Superb
148,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5.0,4.23,Hyundai,EON
149,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5.0,3.5,Volkswagen,Polo
150,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5.0,2.5,Datsun,GO
151,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5.0,2.39,Honda,Brio
152,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.25,Mercedes-Benz,B
153,Kochi,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,7.11,Honda,City
154,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7.0,10.9,Toyota,Innova
155,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5.0,6.2,Maruti,Swift
156,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140.0,7.0,7.9,Mahindra,XUV500
157,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5.0,4.42,Ford,Ecosport
158,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7.0,13.5,Toyota,Fortuner
159,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5.0,6.25,Volkswagen,Vento
160,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399,68.0,5.0,2.1,Ford,Figo
161,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258.0,5.0,45.0,BMW,X5
162,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5.0,33.66,Mercedes-Benz,New
163,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5.0,3.65,Honda,Brio
164,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.75,Hyundai,i10
165,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170.0,5.0,42.5,Mercedes-Benz,GLC
166,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5.0,6.5,Hyundai,Grand
167,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5.0,19.0,Audi,A6
168,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5.0,4.45,Volkswagen,Vento
169,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112.0,5.0,23.0,Mini,Countryman
170,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5.0,8.35,Hyundai,i20
171,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5.0,22.95,Audi,A6
172,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5.0,1.5,Chevrolet,Beat
173,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5.0,6.89,Skoda,Superb
174,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68.0,5.0,1.45,Ford,Fiesta
175,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190.0,5.0,33.5,BMW,5
176,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5.0,1.25,Chevrolet,Optra
177,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5.0,4.2,Volkswagen,Polo
178,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8.0,6.75,Renault,Lodgy
179,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5.0,32.0,Mercedes-Benz,E-Class
180,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5.0,7.5,Maruti,Baleno
181,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5.0,4.6,Hyundai,Verna
182,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5.0,4.04,Hyundai,i10
183,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120.0,7.0,10.31,Mahindra,Scorpio
184,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5.0,55.76,Land,Rover
185,Chennai,2010,120000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.6,Ford,Figo
186,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7.0,8.5,Maruti,Ertiga
187,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,Honda,Amaze
188,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5.0,3.55,Hyundai,i10
189,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.25,Honda,Amaze
190,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106.0,5.0,4.5,Skoda,Laura
191,Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5.0,5.35,Renault,Duster
192,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100.0,7.0,6.5,Mahindra,NuvoSport
193,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5.0,9.0,Maruti,Vitara
194,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5.0,6.0,Hyundai,i20
195,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85.0,5.0,2.75,Skoda,Fabia
196,Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5.0,1.5,Tata,Indigo
197,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5.0,19.9,Audi,Q3
198,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5.0,10.0,Skoda,Octavia
199,Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5.0,3.0,Toyota,Etios
200,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.96,Mercedes-Benz,B
201,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5.0,3.25,Honda,Amaze
202,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5.0,4.75,Hyundai,Verna
203,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5.0,5.95,Renault,Duster
204,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5.0,8.15,Hyundai,Creta
205,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67.0,5.0,4.22,Maruti,Wagon
206,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186.0,5.0,10.5,Mercedes-Benz,New
207,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5.0,45.0,Audi,A8
208,Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2.9,Hyundai,i10
209,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5.0,8.9,Skoda,Rapid
210,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5.0,26.0,Skoda,Superb
211,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5.0,8.22,Hyundai,i20
212,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5.0,3.5,Honda,Amaze
213,Chennai,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5.0,1.25,Maruti,Wagon
214,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65.0,5.0,3.7,Mahindra,Verito
215,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5.0,39.41,Mercedes-Benz,New
216,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5.0,2.65,Maruti,Wagon
217,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5.0,8.92,Nissan,Terrano
218,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4.0,35.67,Mini,Cooper
219,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5.0,0.85,Tata,Indica
220,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5.0,3.32,Chevrolet,Beat
221,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199,73.9,5.0,3.6,Volkswagen,Polo
222,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248,74.0,5.0,6.8,Maruti,Swift
223,Kolkata,2012,41284,Diesel,Manual,First,20.0,1399,68.05,5.0,2.5,Ford,Figo
224,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.64,Toyota,Innova
225,Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7.0,7.0,Hyundai,Santa
226,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497,117.3,5.0,3.87,Honda,City
227,Kochi,2018,14960,Petrol,Manual,First,18.6,1197,81.83,5.0,6.27,Hyundai,i20
228,Kochi,2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5.0,18.12,Mercedes-Benz,New
229,Mumbai,2013,74000,Diesel,Manual,First,25.44,936,57.6,5.0,2.65,Chevrolet,Beat
230,Kochi,2015,56847,Diesel,Manual,First,22.54,1396,88.73,5.0,7.2,Hyundai,i20
231,Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494,100.6,7.0,14.3,Toyota,Innova
232,Chennai,2013,52000,Diesel,Manual,First,20.77,1248,88.76,7.0,6.9,Maruti,Ertiga
233,Mumbai,2014,118000,Diesel,Manual,First,12.8,2494,102.0,7.0,10.75,Toyota,Innova
234,Kochi,2016,33915,Petrol,Manual,First,17.8,1497,117.3,5.0,8.09,Honda,City
235,Ahmedabad,2014,82002,Diesel,Automatic,First,17.05,1995,184.0,5.0,18.5,BMW,X1
236,Mumbai,2017,33000,Diesel,Manual,First,24.0,1120,70.0,5.0,4.75,Hyundai,Grand
237,Chennai,2016,34000,Diesel,Manual,First,28.09,1248,88.5,5.0,8.45,Maruti,Ciaz
238,Kolkata,2012,55000,Diesel,Manual,First,20.5,1598,103.6,5.0,3.5,Skoda,Rapid
239,Kochi,2006,160538,Diesel,Manual,First,13.1,1493,82.0,5.0,1.8,Hyundai,Accent
240,Jaipur,2014,60000,Diesel,Manual,Second,19.91,1498,103.6,5.0,3.7,Volkswagen,Polo
241,Coimbatore,2017,49575,Petrol,Manual,First,18.7,1199,88.7,5.0,7.17,Honda,Jazz
242,Jaipur,2010,83000,Petrol,Manual,First,19.81,1086,68.05,5.0,1.75,Hyundai,i10
243,Kochi,2018,51346,Diesel,Automatic,First,16.38,1995,183.0,5.0,21.99,Hyundai,Tucson
244,Pune,2017,43000,Diesel,Manual,First,13.68,2393,147.8,7.0,18.65,Toyota,Innova
245,Jaipur,2011,35000,Petrol,Manual,Third,19.7,796,35.0,5.0,1.85,Maruti,Omni
246,Coimbatore,2017,27872,Petrol,Manual,Second,20.4,1197,81.8,5.0,5.95,Maruti,Swift
247,Mumbai,2014,16514,Petrol,Manual,First,18.9,1197,82.0,5.0,3.75,Hyundai,Grand
248,Pune,2012,120000,Diesel,Manual,First,22.9,1248,74.0,5.0,3.75,Maruti,Swift
249,Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582,126.2,5.0,2.6,Hyundai,Verna
250,Mumbai,2010,52000,Petrol,Manual,First,17.0,1197,80.0,5.0,2.8,Hyundai,i20
251,Coimbatore,2017,29819,Diesel,Automatic,First,11.57,2987,254.79,5.0,61.29,Mercedes-Benz,GLE
252,Bangalore,2014,57000,Diesel,Manual,Second,15.8,2148,170.0,5.0,18.0,Mercedes-Benz,New
253,Hyderabad,2014,88500,Diesel,Manual,First,23.2,1248,73.94,5.0,4.35,Maruti,Ritz
254,Bangalore,2016,28000,Diesel,Manual,First,19.67,1582,126.2,5.0,13.75,Hyundai,Creta
255,Pune,2010,67000,Petrol,Manual,First,19.0,998,66.1,5.0,2.0,Maruti,A-Star
256,Delhi,2016,26000,Diesel,Manual,First,19.64,1461,108.45,5.0,10.0,Renault,Duster
257,Delhi,2010,120000,Diesel,Manual,First,17.8,1248,76.0,5.0,1.65,Fiat,Grande
